jtb_ts,jtb_db,symbol_ts,target_gene_ts,representative_transcript_ts,gene_name_ts,representative_mi_rna_ts,cumulative_weighted_context_score_ts,ensembl_ts,fold_change_ts,padj_ts,target_score_db,mirna_db,gene_symbol_db,gene_description_db,ensembl_db,symbol_db,fold_change_db,padj_db
,mf_wt,,,,,,,,,,87,mmu-miR-96-5p,Camkk2,"calcium/calmodulin-dependent protein kinase kinase 2, beta",ENSMUSG00000029471.13,Camkk2,0.23560254,2.98758e-18
,mf_wt,,,,,,,,,,90,mmu-miR-96-5p,Adam28,a disintegrin and metallopeptidase domain 28,ENSMUSG00000014725.16,Adam28,0.19838616,1.54136e-05
,mf_wt,,,,,,,,,,82,mmu-miR-96-5p,Fam43a,"family with sequence similarity 43, member A",ENSMUSG00000046546.3,Fam43a,0.1544825,6.43842e-08
mf_wt,mf_wt,Ntn4,Ntn4,ENSMUST00000020204.4,netrin 4 ,mmu-miR-96-5p,-0.62,ENSMUSG00000020019.4,0.1531355,0.023459446,97,mmu-miR-96-5p,Ntn4,netrin 4,ENSMUSG00000020019.4,Ntn4,0.1531355,0.023459446
wt_d1338,mf_wt,Ntn4,Ntn4,ENSMUST00000020204.4,netrin 4 ,mmu-miR-96-5p,-0.62,ENSMUSG00000020019.4,2.5042953,0.016691286,97,mmu-miR-96-5p,Ntn4,netrin 4,ENSMUSG00000020019.4,Ntn4,0.1531355,0.023459446
,mf_wt,,,,,,,,,,88,mmu-miR-96-5p,Kif19a,kinesin family member 19A,ENSMUSG00000010021.13,Kif19a,0.14441921,1.11481e-09
mf_wt,mf_wt,Lrrc3,Lrrc3,ENSMUST00000057608.4,leucine rich repeat containing 3 ,mmu-miR-96-5p,-0.52,ENSMUSG00000051652.4,0.11950561,8.41239e-07,84,mmu-miR-96-5p,Lrrc3,leucine rich repeat containing 3,ENSMUSG00000051652.4,Lrrc3,0.11950561,8.41239e-07
wt_d1338,mf_wt,Lrrc3,Lrrc3,ENSMUST00000057608.4,leucine rich repeat containing 3 ,mmu-miR-96-5p,-0.52,ENSMUSG00000051652.4,2.320725,3.57718e-06,84,mmu-miR-96-5p,Lrrc3,leucine rich repeat containing 3,ENSMUSG00000051652.4,Lrrc3,0.11950561,8.41239e-07
,mf_wt,,,,,,,,,,86,mmu-miR-96-5p,Pard3b,par-3 family cell polarity regulator beta,ENSMUSG00000052062.14,Pard3b,0.10803811,8.75048e-05
,mf_wt,,,,,,,,,,84,mmu-miR-96-5p,Deptor,DEP domain containing MTOR-interacting protein,ENSMUSG00000022419.16,Deptor,0.095861465,2.97462e-21
mf_wt,mf_wt,Foxq1,Foxq1,ENSMUST00000042118.9,forkhead box Q1 ,mmu-miR-96-5p,-0.57,ENSMUSG00000038415.10,0.08525521,1.09025e-05,95,mmu-miR-96-5p,Foxq1,forkhead box Q1,ENSMUSG00000038415.10,Foxq1,0.08525521,1.09025e-05
wt_d1338,mf_wt,Foxq1,Foxq1,ENSMUST00000042118.9,forkhead box Q1 ,mmu-miR-96-5p,-0.57,ENSMUSG00000038415.10,2.81121,0.000576452,95,mmu-miR-96-5p,Foxq1,forkhead box Q1,ENSMUSG00000038415.10,Foxq1,0.08525521,1.09025e-05
mf_wt,mf_wt,Rab3c,Rab3c,ENSMUST00000167824.1,"RAB3C, member RAS oncogene family ",mmu-miR-96-5p,-0.4,ENSMUSG00000021700.10,0.06359235,1.06875e-13,99,mmu-miR-96-5p,Rab3c,"RAB3C, member RAS oncogene family",ENSMUSG00000021700.10,Rab3c,0.06359235,1.06875e-13
mf_wt,mf_wt,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,0.05254826,2.0345e-08,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,0.05254826,2.0345e-08
mf_d1338,mf_wt,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,0.09542484,0.001065973,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,0.05254826,2.0345e-08
wt_d1338,mf_wt,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,1.7544854,1.99981e-11,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,0.05254826,2.0345e-08
mf_wt,,Tspan4,Tspan4,ENSMUST00000026585.8,tetraspanin 4 ,mmu-miR-96-5p,-0.54,ENSMUSG00000025511.15,0.16114785,7.19049e-26,,,,,,,,
wt_d1338,,Rnf183,Rnf183,ENSMUST00000107455.2,ring finger protein 183 ,mmu-miR-96-5p,-0.54,ENSMUSG00000063851.12,-1.6025928,0.019367445,,,,,,,,
wt_d1338,,Rnf152,Rnf152,ENSMUST00000058688.6,ring finger protein 152 ,mmu-miR-96-5p,-0.42,ENSMUSG00000047496.6,-2.10623,0.035791738,,,,,,,,
mf_wt,,Htr1b,Htr1b,ENSMUST00000183482.1,5-hydroxytryptamine (serotonin) receptor 1B ,mmu-miR-96-5p,-0.45,ENSMUSG00000049511.5,75.77835,2.72537e-05,,,,,,,,
wt_d1338,,Htr1b,Htr1b,ENSMUST00000183482.1,5-hydroxytryptamine (serotonin) receptor 1B ,mmu-miR-96-5p,-0.45,ENSMUSG00000049511.5,-4.7675056,6.3786e-06,,,,,,,,
