ENSEMBL;symbol;FoldChange;padj
ENSMUSG00000058755.3;Osm;4.409303716;0.000333193
ENSMUSG00000030745.9;Il21r;4.409124126;0.000100566
ENSMUSG00000046718.8;Bst2;4.401632341;0.001495043
ENSMUSG00000091649.3;Phf11b;4.400190636;0.000114407
ENSMUSG00000022440.9;C1qtnf6;4.390495238;0.001054385
ENSMUSG00000052727.6;Map1b;4.368727109;0.006228628
ENSMUSG00000015850.11;Adamtsl4;4.341351171;0.031426512
ENSMUSG00000022180.7;Slc7a8;4.336924736;0.004559394
ENSMUSG00000045827.10;Serpinb9;4.333995387;0.010722713
ENSMUSG00000031647.10;Mfap3l;4.332873456;0.001115116
ENSMUSG00000041954.18;Tnfrsf18;4.304097353;0.024581373
ENSMUSG00000063506.14;Arhgap22;4.272530362;0.017367491
ENSMUSG00000032218.7;Ccnb2;4.249850211;0.004184145
ENSMUSG00000026536.9;Ifi211;4.244578471;0.000498682
ENSMUSG00000071068.7;Treml2;4.238974713;0.000707343
ENSMUSG00000039232.12;Stx11;4.208210044;0.000265042
ENSMUSG00000011179.8;Odc1;4.205336638;1.20085E-05
ENSMUSG00000028599.10;Tnfrsf1b;4.203112289;0.001339069
ENSMUSG00000036381.13;P2ry14;4.201483802;0.003537022
ENSMUSG00000046997.5;Spsb4;4.197814131;0.000144332
ENSMUSG00000017652.16;Cd40;4.193709156;0.003683065
ENSMUSG00000027883.15;Gpsm2;4.189434016;6.74003E-06
ENSMUSG00000029075.6;Tnfrsf4;4.180856871;0.018242391
ENSMUSG00000024350.6;Dnajc18;4.143428534;0.030264491
ENSMUSG00000040584.8;Abcb1a;4.101262967;0.001048324
ENSMUSG00000021569.10;Trip13;4.087032841;0.003279798
ENSMUSG00000099974.1;Bcl2a1d;4.062683921;0.014928819
ENSMUSG00000021930.14;Spryd7;4.062470783;2.29296E-06
ENSMUSG00000002233.13;Rhoc;4.040192325;0.000811481
ENSMUSG00000001542.7;Ell2;4.035129556;0.005920706
ENSMUSG00000060594.6;Layn;4.034622614;0.0352522
ENSMUSG00000000530.16;Acvrl1;4.019775464;0.005111086
ENSMUSG00000046223.10;Plaur;4.019157798;5.01972E-06
ENSMUSG00000032578.7;Cish;4.007643198;0.005331343
ENSMUSG00000068747.14;Sort1;0.249704836;0.000506706
ENSMUSG00000049536.5;Tceal1;0.248766202;0.040203151
ENSMUSG00000032554.15;Trf;0.246650015;1.66247E-05
ENSMUSG00000042099.16;Kank3;0.246397651;0.001443736
ENSMUSG00000017713.9;Tha1;0.246039219;0.012200358
ENSMUSG00000017740.17;Slc12a5;0.245749231;0.018617283
ENSMUSG00000020532.18;Acaca;0.243808186;0.011103897
ENSMUSG00000022912.8;Pros1;0.243330614;0.000375343
ENSMUSG00000038065.13;Mturn;0.242298871;0.000498494
ENSMUSG00000024053.11;Emilin2;0.241720625;1.08005E-05
ENSMUSG00000031565.18;Fgfr1;0.240969288;0.000333193
ENSMUSG00000067199.4;Frat1;0.240089714;0.007108906
ENSMUSG00000003526.12;Prodh;0.238327403;0.028885794
ENSMUSG00000024535.16;Snx24;0.238250051;0.001008513
ENSMUSG00000010021.13;Kif19a;0.236186697;0.043195908
ENSMUSG00000010307.7;Tmem86a;0.23546499;3.09802E-06
ENSMUSG00000070891.2;NA;0.234686147;0.04648536
ENSMUSG00000026748.13;Plxdc2;0.234217932;1.21495E-06
ENSMUSG00000013974.3;Mcemp1;0.233308497;0.000812843
ENSMUSG00000031144.15;Syp;0.233284048;0.023200174
ENSMUSG00000022994.9;Adcy6;0.229770099;0.007001797
ENSMUSG00000073418.4;C4b;0.228001979;5.90008E-05
ENSMUSG00000001552.14;Jup;0.227330137;0.012418594
ENSMUSG00000020034.7;Tcp11l2;0.227326709;0.004922467
ENSMUSG00000018474.18;Chd3;0.226499627;0.000535953
ENSMUSG00000032549.7;Rab6b;0.225175237;0.023200174
ENSMUSG00000021614.16;Vcan;0.225171843;0.001611573
ENSMUSG00000043832.13;Clec4a3;0.220806862;3.11798E-07
ENSMUSG00000022686.14;B3gnt5;0.219888353;0.000333193
ENSMUSG00000089665.2;Fcor;0.219848471;0.009585599
ENSMUSG00000037185.9;Krt80;0.217233385;0.005057612
ENSMUSG00000050503.9;Fbxl22;0.217051552;0.016560641
ENSMUSG00000053559.13;Smagp;0.217003074;9.72796E-05
ENSMUSG00000028456.18;Unc13b;0.216014708;0.031094772
ENSMUSG00000033705.17;Stard9;0.215804667;0.000397507
ENSMUSG00000040563.13;Plppr2;0.215001873;0.046124105
ENSMUSG00000005836.10;Gata6;0.214311767;0.006459037
ENSMUSG00000026126.15;Ptpn18;0.212754196;1.18511E-05
ENSMUSG00000014418.16;Hps5;0.210840853;0.012723814
ENSMUSG00000066894.14;Vsig10;0.210216764;0.002393139
ENSMUSG00000039246.8;Lyplal1;0.20679072;0.03968673
ENSMUSG00000016624.15;Phf21b;0.20250815;0.013444616
ENSMUSG00000068874.13;Selenbp1;0.198408789;0.038335107
ENSMUSG00000079165.10;Sap25;0.197669111;0.000692691
ENSMUSG00000054612.4;Mgmt;0.197383123;0.016865504
ENSMUSG00000074622.4;Mafb;0.195468229;6.34556E-08
ENSMUSG00000026938.10;Fcna;0.195321439;1.57493E-07
ENSMUSG00000040855.15;Reps2;0.194226078;0.036471662
ENSMUSG00000022540.16;Rogdi;0.194157295;9.85086E-05
ENSMUSG00000038175.10;Mylip;0.193576863;0.000360407
ENSMUSG00000037664.13;Cdkn1c;0.189428151;0.011404911
ENSMUSG00000036833.16;Pnpla7;0.187850511;0.000449753
ENSMUSG00000028211.11;Trp53inp1;0.184106685;0.03553264
ENSMUSG00000022415.12;Syngr1;0.183334358;0.001161712
ENSMUSG00000021185.16;Dglucy;0.182767303;0.000640308
ENSMUSG00000057132.16;Rpgrip1;0.18210883;0.047283377
ENSMUSG00000006611.15;Hfe;0.181214145;0.000134155
ENSMUSG00000047842.7;Diras2;0.180301301;0.047525776
ENSMUSG00000027173.7;Depdc7;0.177050413;0.002011449
ENSMUSG00000028565.18;Nfia;0.175400211;0.005947039
ENSMUSG00000079450.11;Cldn34c1;0.175231776;0.039911076
ENSMUSG00000031303.8;Map3k15;0.174753847;0.016743893
ENSMUSG00000002083.13;Bbc3;0.17299051;0.039196465
ENSMUSG00000058624.13;Gda;0.172596732;1.50116E-07
ENSMUSG00000045382.6;Cxcr4;0.169220414;0.022902363
ENSMUSG00000019734.16;Tmc4;0.168464166;0.043835078
ENSMUSG00000118506.1;1700094D03Rik;0.168330189;0.03085342
ENSMUSG00000012017.4;Scarf2;0.16622875;0.005920706
ENSMUSG00000045636.16;Mtus1;0.165561711;4.68263E-05
ENSMUSG00000030246.11;Ldhb;0.165032325;9.9316E-05
ENSMUSG00000022199.12;Slc22a17;0.163991817;0.000293756
ENSMUSG00000036957.8;Lrfn3;0.163527048;0.001675016
ENSMUSG00000039976.4;Tbc1d16;0.163326611;0.000846646
ENSMUSG00000031169.13;Porcn;0.1600728;0.01077258
ENSMUSG00000037685.15;Atp8a1;0.158947783;0.00661785
ENSMUSG00000039873.4;Neurl2;0.156867993;0.000409
ENSMUSG00000079481.11;Nhsl2;0.156584594;0.030210716
ENSMUSG00000110195.1;Pde2a;0.155222534;0.044310987
ENSMUSG00000048240.14;Gng7;0.154190474;0.028076697
ENSMUSG00000018427.8;Ypel2;0.153699527;0.002716527
ENSMUSG00000055322.15;Tns1;0.153239496;0.04407475
ENSMUSG00000017978.18;Cadps2;0.152758295;0.021244146
ENSMUSG00000041633.14;Kctd12b;0.151705313;0.049571474
ENSMUSG00000046456.14;Tmem150b;0.151017377;0.001347906
ENSMUSG00000028859.14;Csf3r;0.150750409;4.86097E-05
ENSMUSG00000060244.1;Alyref2;0.1507061;0.001169138
ENSMUSG00000004709.14;Cd244a;0.147969475;0.028802947
ENSMUSG00000017969.13;Ptgis;0.144820095;0.000145699
ENSMUSG00000025328.9;Padi3;0.144472564;0.002993698
ENSMUSG00000029096.15;Htra3;0.144290981;2.50908E-05
ENSMUSG00000042607.15;Asb4;0.141004177;1.06436E-05
ENSMUSG00000037095.8;Lrg1;0.139236064;8.72509E-05
ENSMUSG00000022610.10;Mapk12;0.139170147;0.003111683
ENSMUSG00000064373.12;Selenop;0.138655048;0.000968233
ENSMUSG00000050530.14;Fam171a1;0.138106172;0.004040881
ENSMUSG00000060224.4;Pyroxd2;0.137508677;0.004603406
ENSMUSG00000035121.6;Neil2;0.135006631;0.0219985
ENSMUSG00000032377.8;Plscr4;0.133659897;0.043052649
ENSMUSG00000024013.15;Fgd2;0.133392069;0.018540148
ENSMUSG00000033857.12;Engase;0.133120354;0.017601838
ENSMUSG00000027339.15;Rassf2;0.131967787;8.51328E-10
ENSMUSG00000026365.15;Cfh;0.130952393;0.005288456
ENSMUSG00000036304.14;Zdhhc23;0.130700678;0.025625884
ENSMUSG00000057722.17;Lepr;0.129002989;0.005042909
ENSMUSG00000038886.10;Man2a2;0.128690768;7.88033E-06
ENSMUSG00000025701.12;Alox5;0.128563365;7.73133E-05
ENSMUSG00000040093.16;Bmf;0.127209693;3.88928E-07
ENSMUSG00000032204.13;Aqp9;0.123569519;3.58579E-10
ENSMUSG00000024049.15;Myom1;0.123469204;0.012096602
ENSMUSG00000027435.8;Cd93;0.122636213;2.55515E-05
ENSMUSG00000026941.16;Mamdc4;0.120853031;0.049763818
ENSMUSG00000022122.15;Ednrb;0.11992334;2.01004E-10
ENSMUSG00000037370.13;Enpp1;0.119554145;0.019569633
ENSMUSG00000025489.5;Ifitm5;0.116996352;0.005654695
ENSMUSG00000034488.14;Edil3;0.11610194;0.001308833
ENSMUSG00000042770.8;Hebp1;0.115849706;7.89777E-07
ENSMUSG00000027329.9;Spef1;0.115519224;3.45065E-05
ENSMUSG00000020131.14;Pcsk4;0.115515221;0.044057611
ENSMUSG00000010362.9;Rdm1;0.11471237;0.000151519
ENSMUSG00000083282.3;Ctsf;0.114513661;7.73133E-05
ENSMUSG00000026072.12;Il1r1;0.113477993;0.023286713
ENSMUSG00000030699.16;Tbx6;0.113329497;0.007716674
ENSMUSG00000017754.13;Pltp;0.112929187;3.00477E-17
ENSMUSG00000006930.15;Hap1;0.11264315;0.00012808
ENSMUSG00000024548.11;Setbp1;0.111074571;0.008916818
ENSMUSG00000036862.15;Dchs1;0.107243347;0.032113892
ENSMUSG00000056602.12;Fry;0.105184045;0.002262399
ENSMUSG00000062980.15;Cped1;0.104606768;0.001467747
ENSMUSG00000030064.16;Frmd4b;0.10409846;2.79171E-08
ENSMUSG00000031097.15;Tnni2;0.102796162;0.033910109
ENSMUSG00000022818.13;Cyp2ab1;0.102356551;0.00504394
ENSMUSG00000026357.3;Rgs18;0.100269943;0.042580612
ENSMUSG00000004187.11;Kifc2;0.099776972;0.00981082
ENSMUSG00000032271.13;Nnmt;0.099523459;0.000535953
ENSMUSG00000055782.9;Abcd2;0.097433555;1.98016E-10
ENSMUSG00000029650.10;Slc46a3;0.09714947;0.018958866
ENSMUSG00000074093.4;Svip;0.096378093;0.000125245
ENSMUSG00000070858.12;Gm1673;0.096029641;0.00890431
ENSMUSG00000026360.9;Rgs2;0.095424836;0.001065973
ENSMUSG00000028957.12;Per3;0.09305879;0.005876603
ENSMUSG00000034265.8;Zdhhc14;0.092757974;2.9396E-06
ENSMUSG00000062515.3;Fabp4;0.090362762;0.006291982
ENSMUSG00000026765.12;Lypd6b;0.090234519;0.011295967
ENSMUSG00000022419.16;Deptor;0.09011155;1.09605E-09
ENSMUSG00000022220.14;Adcy4;0.089281258;0.000689022
ENSMUSG00000110234.2;Timm10b;0.087752304;0.015165359
ENSMUSG00000010342.16;Tex14;0.084386571;0.017421767
ENSMUSG00000001870.16;Ltbp1;0.083156854;2.26351E-10
ENSMUSG00000005373.13;Mlxipl;0.081837901;0.000626803
ENSMUSG00000023800.15;Tiam2;0.080055891;3.06868E-06
ENSMUSG00000006784.14;Ttc25;0.078677021;0.028078874
ENSMUSG00000024210.3;Ip6k3;0.074891884;0.011484142
ENSMUSG00000061740.8;Cyp2d22;0.074774887;0.001699903
ENSMUSG00000038776.13;Ephx1;0.074692482;0.001592626
ENSMUSG00000044937.15;Ttc41;0.073365101;0.010101719
ENSMUSG00000035835.14;Plppr3;0.070348288;0.028425103
ENSMUSG00000030329.11;Pianp;0.070313245;0.013899719
ENSMUSG00000005824.7;Tnfsf14;0.068420585;6.02373E-06
ENSMUSG00000095788.6;Sirpb1a;0.067419447;2.03898E-06
ENSMUSG00000099041.1;NA;0.065682395;0.01418439
ENSMUSG00000001493.9;Meox1;0.064874773;0.012905101
ENSMUSG00000009731.4;Kcnd1;0.063277834;0.023740211
ENSMUSG00000044206.3;Vsig4;0.063093891;0.000770677
ENSMUSG00000078780.7;Gm5150;0.063048887;9.13969E-09
ENSMUSG00000047592.17;Nxpe5;0.062565386;1.69288E-07
ENSMUSG00000046442.4;Ppm1e;0.061890874;0.004063007
ENSMUSG00000049791.4;Fzd4;0.06054164;0.000261922
ENSMUSG00000052516.19;Robo2;0.058413209;0.000333193
ENSMUSG00000095028.6;Sirpb1b;0.057593339;9.89358E-14
ENSMUSG00000028031.6;Dkk2;0.057505279;7.24893E-07
ENSMUSG00000074677.11;Sirpb1c;0.057375075;4.95857E-13
ENSMUSG00000020604.13;Arsg;0.055711513;3.27212E-12
ENSMUSG00000057465.5;Saa2;0.052877059;0.0021126
ENSMUSG00000041797.7;Abca9;0.05140523;0.002849866
ENSMUSG00000063060.6;Sox7;0.048648477;0.016276746
ENSMUSG00000046826.7;Fam187b;0.048132774;0.025366574
ENSMUSG00000026579.8;F5;0.047614743;0.000186134
ENSMUSG00000021638.12;Ocln;0.045950773;5.81174E-05
ENSMUSG00000060512.7;0610040J01Rik;0.045228792;0.007268919
ENSMUSG00000079429.9;Mroh2a;0.041868902;0.006002309
ENSMUSG00000038068.15;Rnf144b;0.037491846;1.88045E-11
ENSMUSG00000070390.12;Nlrp1b;0.036696044;0.000689022
ENSMUSG00000020774.9;Aspa;0.034328913;0.003504553
ENSMUSG00000061100.5;Retnla;0.031650785;5.34317E-13
ENSMUSG00000010175.13;Prox1;0.030880705;0.006298577
ENSMUSG00000047094.9;Ofcc1;0.029737334;1.44799E-05
ENSMUSG00000026580.16;Selp;0.029138213;7.49525E-07
ENSMUSG00000061322.15;Dnaic1;0.027514242;0.007496661
ENSMUSG00000050103.18;Agmo;0.027242347;0.000839112
ENSMUSG00000026170.6;Cyp27a1;0.025448537;4.36205E-06
ENSMUSG00000059824.12;Dbp;0.02480337;2.03894E-05
ENSMUSG00000059108.4;Ifitm6;0.021837529;1.70732E-17
ENSMUSG00000057729.12;Prtn3;0.016427943;1.51505E-07
ENSMUSG00000070868.11;Skint3;0.01590148;4.6919E-06
ENSMUSG00000052631.15;Sh2d6;0.015635677;0.032693824
ENSMUSG00000018924.6;Alox15;0.014554693;1.51369E-11
ENSMUSG00000065987.12;Cd209b;0.013076308;0.028333687
ENSMUSG00000042616.8;Oscp1;0.012825969;2.64167E-07
ENSMUSG00000069919.7;Hba-a1;0.01184353;6.20885E-16
ENSMUSG00000021313.16;Ryr2;0.010759708;0.005086838
ENSMUSG00000049491.15;Slc36a3;0.009327997;0.039449124
ENSMUSG00000089943.1;Ugt1a5;0.007956039;0.042580612
ENSMUSG00000052305.6;Hbb-b1;0.007495765;1.77881E-23
ENSMUSG00000044816.10;D630023F18Rik;0.006480696;0.000274264
ENSMUSG00000073940.3;Hbb-bt;0.006428001;1.52684E-07
ENSMUSG00000023078.6;Cxcl13;0.004738035;0.000135467
ENSMUSG00000112241.1;NA;0.004485972;0.000535953
ENSMUSG00000069917.7;Hba-a2;0.003019771;3.25613E-21
ENSMUSG00000069609.7;Cd300ld4;0.002523521;2.524E-05
